532,302,695,466
532,301,695,466
532,301,695,466
531,302,695,464
532,302,695,465
531,302,695,466
532,302,695,465
532,301,695,466
533,301,695,466
533,302,695,463
533,302,694,466
531,301,695,466
530,301,695,467
765,219,979,490
763,219,980,489
532,301,695,466
532,301,695,465
532,301,695,465
533,301,695,466
532,301,695,466
532,302,695,465
533,301,695,466
533,301,694,466
532,301,694,466
531,301,695,466
531,301,695,466
531,301,695,465
532,301,695,466
531,301,694,466
532,301,694,465
532,301,695,467
530,301,695,466
532,301,695,465
530,301,694,467
531,301,695,467
531,301,695,468
532,301,695,468
532,301,695,467
532,301,695,466
531,301,695,466
518,301,696,466
514,301,696,465
519,302,696,465
533,302,695,466
533,302,696,467
533,301,695,466
534,302,695,469
532,301,695,467
533,301,695,469
533,301,695,467
517,301,696,467
518,301,696,467
529,301,696,468
530,301,696,469
529,301,695,470
530,301,695,468
530,301,695,469
530,301,695,466
531,302,695,467
529,301,695,465
532,301,695,466
531,301,695,465
530,301,695,467
530,301,695,466
530,301,695,465
530,301,695,466
531,301,695,468
532,301,695,466
532,301,695,467
533,302,695,467
532,301,695,467
532,301,695,471
531,301,695,467
531,301,695,467
532,301,695,467
532,301,695,468
1048,341,1280,708
532,301,695,469
533,301,695,467
532,301,695,466
532,301,696,467
531,301,695,467
531,301,695,466
535,301,695,468
532,301,695,469
531,301,695,467
533,301,695,468
1044,334,1264,661
532,301,695,472
532,301,695,469
1052,322,1280,684
1054,313,1280,688
532,301,695,468
528,301,695,467
532,301,695,467
532,301,695,467
532,301,694,467
533,301,694,467
531,301,695,469
532,301,694,468
207,142,474,650
532,301,695,468
532,301,695,467
532,301,695,466
533,301,695,467
531,301,695,466
530,301,695,467
531,300,694,465
193,145,448,651
192,145,447,651
532,301,695,467
532,301,695,467
531,301,695,466
528,301,695,465
512,301,695,465
533,301,695,466
532,301,695,466
207,42,390,639
532,301,694,466
245,37,417,641
221,59,436,618
234,158,511,624
533,301,694,465
249,213,454,613
531,301,694,465
532,300,695,466
532,301,695,466
531,301,694,466
